age_group,pb_level,BLL0,f_sys,dBLL_med_Post,dBLL_med_Pre,dBLL_p05_Post,dBLL_p05_Pre,dBLL_p95_Post,dBLL_p95_Pre,p_exceed_3_5_Post,p_exceed_3_5_Pre,p_exceed_5_Post,p_exceed_5_Pre,delta_dBLL_med,delta_dBLL_p05,delta_dBLL_p95,rr_exceed_3_5,rr_exceed_5
Adult_18plus,C_high,1,1,6.0924730045533115,4.244749501125369,3.4823112623068697,2.377921276836024,10.409615791617435,7.2311972722020785,0.9758333333333333,0.9326666666666666,0.7993333333333333,0.5586666666666666,1.8477235034279422,1.1043899854708457,3.1784185194153567,1.0462830593280916,1.4307875894988067
Adult_18plus,C_high,2,1,6.1333042260670245,4.25778001453208,3.4129189180922146,2.4887255182193875,10.227338057062155,7.246276241771087,0.9995,0.9983333333333333,0.9363333333333334,0.8543333333333333,1.8755242115349446,0.9241933998728271,2.981061815291069,1.0011686143572622,1.0959812719469373
Adult_18plus,C_low,0.5,0.25,0.37972773877911353,0.17133698472340975,0.21337070329175542,0.0983399799569994,0.642150094063674,0.2885436417100051,0,0,0,0,0.2083907540557038,0.11503072333475602,0.35360645235366883,NA,NA
Adult_18plus,C_low,1,0.25,0.3811344516565653,0.1714515273077638,0.21499870757482425,0.0957574351808952,0.6391393652575468,0.2939348785383728,0,0,0,0,0.20968292434880148,0.11924127239392905,0.345204486719174,NA,NA
Adult_18plus,C_low,2,0.25,0.38493808732076984,0.17087585959434848,0.21685656381055513,0.09882519621115757,0.6510647271625489,0.2925691560454354,5e-4,0,0,0,0.21406222772642136,0.11803136759939756,0.35849557111711355,Inf,NA
Adult_18plus,C_low,0.5,0.5,0.7673423846767566,0.3441778950293698,0.44623751848414167,0.1900840168874507,1.296741014414318,0.5830547225325295,1.6666666666666666e-4,0,0,0,0.42316448964738684,0.256153501596691,0.7136862918817886,Inf,NA
Adult_18plus,C_low,1,0.5,0.7621464210817332,0.34471310901279806,0.438378565978738,0.19901418519024403,1.2901634752003979,0.5817258748697925,0.0026666666666666666,0,0,0,0.4174333120689352,0.23936438078849395,0.7084376003306053,Inf,NA
Adult_18plus,C_low,2,0.5,0.7728823209519032,0.3436238814951025,0.4298520878526928,0.19173072371733582,1.2826753667123234,0.5806018584626446,0.1,0,0,0,0.42925843945680076,0.23812136413535698,0.7020735082496788,Inf,NA
Adult_18plus,C_low,0.5,0.75,1.1488621142309299,0.5248894205149774,0.6436490544383201,0.2922955669671169,1.9492696790372914,0.8643190202381984,0.021166666666666667,0,6.666666666666666e-4,0,0.6239726937159524,0.3513534874712032,1.0849506587990931,Inf,Inf
Adult_18plus,C_low,1,0.75,1.1537775735066367,0.5142912804628745,0.645955139640308,0.28667860888276964,1.946807454760544,0.843940885390449,0.0675,0,0.0025,0,0.6394862930437621,0.3592765307575384,1.1028665693700952,Inf,Inf
Adult_18plus,C_low,2,0.75,1.1674416448580702,0.5165647718274278,0.6451639774948784,0.2894283198104189,1.9807831207644724,0.8881798090814723,0.333,0,0.025,0,0.6508768730306425,0.3557356576844595,1.092603311683,Inf,Inf
Adult_18plus,C_low,0.5,1,1.5218361647984335,0.6835379039154678,0.866034115996118,0.38877885376661425,2.56104098184237,1.1691129384819587,0.10083333333333333,0,0.007,0,0.8382982608829658,0.47725526222950376,1.391928043360411,Inf,Inf
Adult_18plus,C_low,1,1,1.5260438607060307,0.6806126233167684,0.8691354426049944,0.3920188089575753,2.588687558363672,1.1702124979004511,0.197,0,0.020333333333333332,0,0.8454312373892623,0.47711663364741913,1.4184750604632208,Inf,Inf
Adult_18plus,C_low,2,1,1.5290169628104358,0.6776510775900713,0.8696752831030639,0.38147983514562195,2.5876800622139546,1.135006528855641,0.45166666666666666,0.005333333333333333,0.10366666666666667,0,0.8513658852203645,0.4881954479574419,1.4526735333583136,84.6875,Inf
Adult_18plus,C_med,0.5,0.25,0.7131340112354698,0.4089463396125411,0.403541661366729,0.2334370586721523,1.194519037695637,0.6834487352401386,1.6666666666666666e-4,0,0,0,0.3041876716229287,0.17010460269457667,0.5110703024554983,Inf,NA
Adult_18plus,C_med,1,0.25,0.7016808060726474,0.40435952262913566,0.4003422626856131,0.22102204406274406,1.192233648643691,0.680999141354805,6.666666666666666e-4,0,0,0,0.2973212834435117,0.17932021862286907,0.5112345072888861,Inf,NA
Adult_18plus,C_med,2,0.25,0.7084756965799572,0.4053346399039668,0.4108020466944702,0.2320815008663424,1.188084422540596,0.674946516437401,0.0495,0,0,0,0.30314105667599045,0.17872054582812777,0.513137906103195,Inf,NA
Adult_18plus,C_med,0.5,0.5,1.4270645945046607,0.8075604354368009,0.810481816613867,0.4528270438825078,2.374865634344996,1.3779788233867847,0.04766666666666667,0,0.0025,0,0.6195041590678598,0.3576547727313592,0.9968868109582112,Inf,Inf
