age_group,period_flood,pb_level,f_sys,BLL0,threshold_ug_dl,dBLL_med,dBLL_p05,dBLL_p95,p_exceed,p_exceed_p05,p_exceed_p95
Infant_0_6mo,Disturbance,C_low,0.75,0.5,3.5,21.75216481507528,13.91859131970855,34.2372738440868,1,1,1
Infant_0_6mo,Disturbance,C_low,0.75,0.5,5,21.75216481507528,13.91859131970855,34.2372738440868,1,1,1
Infant_0_6mo,Disturbance,C_low,0.75,1,3.5,21.631945772437607,13.811171480405335,33.49318653070448,1,1,1
Infant_0_6mo,Disturbance,C_low,0.75,1,5,21.631945772437607,13.811171480405335,33.49318653070448,1,1,1
Infant_0_6mo,Disturbance,C_low,0.75,2,3.5,21.54653360758553,14.021026294424033,33.806129480533095,1,1,1
Infant_0_6mo,Disturbance,C_low,0.75,2,5,21.54653360758553,14.021026294424033,33.806129480533095,1,1,1
Infant_0_6mo,Disturbance,C_low,1,0.5,3.5,28.743796308767298,18.507175743573107,44.012609704754624,1,1,1
Infant_0_6mo,Disturbance,C_low,1,0.5,5,28.743796308767298,18.507175743573107,44.012609704754624,1,1,1
Infant_0_6mo,Disturbance,C_low,1,1,3.5,28.853004993115142,18.3816885100428,44.68713592261064,1,1,1
Infant_0_6mo,Disturbance,C_low,1,1,5,28.853004993115142,18.3816885100428,44.68713592261064,1,1,1
Infant_0_6mo,Disturbance,C_low,1,2,3.5,28.786545604052364,18.759514360359244,45.178010557118576,1,1,1
Infant_0_6mo,Disturbance,C_low,1,2,5,28.786545604052364,18.759514360359244,45.178010557118576,1,1,1
Infant_0_6mo,Disturbance,C_med,0.25,0.5,3.5,12.708774861220794,8.180750119520491,20.148146431654922,1,1,1
Infant_0_6mo,Disturbance,C_med,0.25,0.5,5,12.708774861220794,8.180750119520491,20.148146431654922,1,1,1
Infant_0_6mo,Disturbance,C_med,0.25,1,3.5,12.728280186483392,8.245013347493186,19.38441587882158,1,1,1
Infant_0_6mo,Disturbance,C_med,0.25,1,5,12.728280186483392,8.245013347493186,19.38441587882158,1,1,1
Infant_0_6mo,Disturbance,C_med,0.25,2,3.5,12.807928635917685,8.080844859060969,19.831740760800006,1,1,1
Infant_0_6mo,Disturbance,C_med,0.25,2,5,12.807928635917685,8.080844859060969,19.831740760800006,1,1,1
Infant_0_6mo,Disturbance,C_med,0.5,0.5,3.5,25.34010283940877,16.452371314421697,39.174888471924355,1,1,1
Infant_0_6mo,Disturbance,C_med,0.5,0.5,5,25.34010283940877,16.452371314421697,39.174888471924355,1,1,1
Infant_0_6mo,Disturbance,C_med,0.5,1,3.5,25.125262148585534,16.47285988038475,39.56740866774589,1,1,1
Infant_0_6mo,Disturbance,C_med,0.5,1,5,25.125262148585534,16.47285988038475,39.56740866774589,1,1,1
Infant_0_6mo,Disturbance,C_med,0.5,2,3.5,25.44831511036138,16.207853266733657,39.4708629493581,1,1,1
Infant_0_6mo,Disturbance,C_med,0.5,2,5,25.44831511036138,16.207853266733657,39.4708629493581,1,1,1
Infant_0_6mo,Disturbance,C_med,0.75,0.5,3.5,38.19507212315945,24.55700381333469,59.62838819075089,1,1,1
Infant_0_6mo,Disturbance,C_med,0.75,0.5,5,38.19507212315945,24.55700381333469,59.62838819075089,1,1,1
Infant_0_6mo,Disturbance,C_med,0.75,1,3.5,38.13711570240939,24.3926245875634,59.380495914780795,1,1,1
Infant_0_6mo,Disturbance,C_med,0.75,1,5,38.13711570240939,24.3926245875634,59.380495914780795,1,1,1
